hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Hüller Bitterer Hop,4.5,7.0,5.8,4.5,5.5,5.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,26.0,31.0,28.5,1.0,1.5,1.3,28.0,51.0,39.5,9.0,21.0,15.0,5.0,8.0,6.5,0.0,1.0,0.5,19.0,58.0,nan
Magnum (GR) Hop,11.0,16.0,13.5,4.5,7.0,5.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,18.0,21.0,29.0,25.0,1.6,2.6,2.1,30.0,45.0,37.5,30.0,45.0,37.5,8.0,12.0,10.0,0.0,1.0,0.5,0.0,32.0,nan
Mandarina Bavaria Hop,7.0,10.5,8.8,4.0,8.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,31.0,35.0,33.0,0.8,2.0,1.4,35.0,45.0,40.0,10.0,15.0,12.5,6.0,10.0,8.0,1.0,2.0,1.5,28.0,48.0,nan
Merkur Hop,12.0,16.2,14.1,4.5,7.3,5.9,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,17.0,20.0,18.5,2.0,3.0,2.5,45.0,50.0,47.5,28.0,32.0,30.0,8.0,10.0,9.0,0.0,1.0,0.5,7.0,19.0,nan
Monroe Hop,2.5,2.9,2.7,6.5,7.5,7.0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,0.252,nan,nan,nan,nan,0.95,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Northern Brewer (GR) Hop,6.0,10.0,8.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,33.0,30.0,1.0,2.1,1.6,25.0,45.0,35.0,35.0,50.0,42.5,10.0,20.0,15.0,0.0,1.0,0.5,0.0,30.0,nan
Opal Hop,5.0,14.0,9.5,3.5,5.5,4.5,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,13.0,34.0,23.5,0.8,1.3,1.1,20.0,45.0,32.5,30.0,50.0,40.0,8.0,15.0,11.5,0.0,1.0,0.5,0.0,42.0,nan
Orion Hop,6.0,9.0,7.5,2.5,5.75,4.1,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,25.0,30.0,27.5,0.8,2.1,1.5,41.0,56.0,48.5,16.0,26.0,21.0,6.0,13.0,9.5,0.0,1.0,0.5,4.0,37.0,nan
Perle (GR) Hop,4.0,9.0,6.5,2.5,5.0,3.8,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,29.0,35.0,32.0,0.5,2.5,1.5,20.0,35.0,27.5,35.0,55.0,45.0,10.0,20.0,15.0,0.0,1.0,0.5,0.0,35.0,nan
Polaris Hop,18.0,23.0,20.5,4.5,6.5,5.5,3.0,1.0,5.0,1.0,4.0,1.0,nan,nan,nan,22.0,29.0,25.5,4.0,5.0,4.5,49.0,51.0,50.0,20.0,35.0,27.5,8.0,13.0,10.5,0.0,1.0,0.5,0.0,23.0,nan
